ID,ホスト名,IPアドレス
1716,sgkp5060.ccmaster,133.101.182.141
1717,sgkp5070.ccmaster,133.101.182.142
1718,sgkp5080.ccmaster,133.101.182.143
1719,sgkp5090.ccmaster,133.101.182.144
1720,sgkp5100.ccmaster,133.101.182.145
1721,sgkp5110.ccmaster,133.101.182.146
1722,sgkp5120.ccmaster,133.101.182.147
1724,nakp3030.ccmaster,133.101.182.159
1725,mvkp0005.ccmaster,133.101.182.215
1726,srkp3070.ccmaster,133.101.182.236
1728,srkp2050.ccmaster,133.101.182.225
1729,srkp3010.ccmaster,133.101.182.230
1730,srkp3020.ccmaster,133.101.182.231
1731,srkp4010.ccmaster,133.101.182.242
1732,srkp4020.ccmaster,133.101.182.243
1733,srkp5010.ccmaster,133.101.182.249
1734,srkp5020.ccmaster,133.101.182.250
1735,srkp5030.ccmaster,133.101.182.251
1736,srkp5040.ccmaster,133.101.182.252
1737,srkp5050.ccmaster,133.101.182.253
1741,mvkp0011.ccmaster,133.101.182.201
1742,srkp2070.ccmaster,133.101.182.226
1743,srkp2080.ccmaster,133.101.182.227
1744,srkp2090.ccmaster,133.101.182.228
1745,srkp2100.ccmaster,133.101.182.229
1746,srkp3080.ccmaster,133.101.182.237
1747,srkp3090.ccmaster,133.101.182.238
1748,srkp3100.ccmaster,133.101.182.239
1749,srkp3110.ccmaster,133.101.182.240
1750,srkp3120.ccmaster,133.101.182.241
1751,srkp4030.ccmaster,133.101.182.244
1752,srkp4040.ccmaster,133.101.182.245
1753,srkp4050.ccmaster,133.101.182.246
1754,srkp4060.ccmaster,133.101.182.247
1755,srkp4070.ccmaster,133.101.182.248
1756,srkp5060.ccmaster,133.101.182.254
1757,srkp5070.ccmaster,133.101.182.5
1758,srkp5080.ccmaster,133.101.183.6
1759,srkp5090.ccmaster,133.101.183.1
1760,srkp5100.ccmaster,133.101.183.2
1761,srkp5110.ccmaster,133.101.183.3
1762,srkp5120.ccmaster,133.101.183.4
1769,nbkp3010.ccmaster,133.101.183.7
1770,nbkp3050.ccmaster,133.101.183.8
1771,nbkp4040.ccmaster,133.101.183.9
1781,n5kp2210.ccmaster,133.101.183.19
1782,n5kp2220.ccmaster,133.101.183.20
1783,n5kp2230.ccmaster,133.101.183.21
1784,n5kp2240.ccmaster,133.101.183.22
1785,n5kp2250.ccmaster,133.101.183.23
1786,n5kp2260.ccmaster,133.101.183.24
1787,n5kp2270.ccmaster,133.101.183.25
1788,n5kp2280.ccmaster,133.101.183.26
1789,n5kp2290.ccmaster,133.101.183.27
1790,n5kp2300.ccmaster,133.101.183.28
1791,n5kp3010.ccmaster,133.101.183.29
1792,n5kp3020.ccmaster,133.101.183.30
1793,n5kp3030.ccmaster,133.101.183.31
1794,n5kp3210.ccmaster,133.101.183.32
1795,n5kp3220.ccmaster,133.101.183.33
1796,n5kp3230.ccmaster,133.101.183.34
1797,n5kp3240.ccmaster,133.101.183.35
1798,n5kp4010.ccmaster,133.101.183.36
1799,n5kp4020.ccmaster,133.101.183.37
1800,n5kp4030.ccmaster,133.101.183.38
1801,n5kp4040.ccmaster,133.101.183.39
1802,n5kp4050.ccmaster,133.101.183.40
1803,n5kp4060.ccmaster,133.101.183.41
1804,n5kp4070.ccmaster,133.101.183.42
1805,n6kp4010.ccmaster,133.101.183.43
1806,n6kp4020.ccmaster,133.101.183.44
1807,n6kp3010.ccmaster,133.101.183.45
1808,n6kp3020.ccmaster,133.101.183.46
1809,n6kp2010.ccmaster,133.101.183.47
1810,n6kp2020.ccmaster,133.101.183.48
1811,nckp2010.ccmaster,133.101.183.52
1812,nckp3010.ccmaster,133.101.183.53
1813,nckp3030.ccmaster,133.101.183.54
1814,nckp3040.ccmaster,133.101.183.55
1815,nckp3050.ccmaster,133.101.183.56
1816,nckp3060.ccmaster,133.101.183.57
1817,nckp3220.ccmaster,133.101.183.58
1818,nckp3230.ccmaster,133.101.183.59
1819,nckp4010.ccmaster,133.101.183.60
1820,nckp4020.ccmaster,133.101.183.61
1821,nckp4030.ccmaster,133.101.183.62
1822,nckp4040.ccmaster,133.101.183.63
1823,nckp4050.ccmaster,133.101.183.64
1824,nckp4210.ccmaster,133.101.183.65
1825,nckp4220.ccmaster,133.101.183.66
1826,nckp4240.ccmaster,133.101.183.67
1827,nckp4250.ccmaster,133.101.183.68
1828,nckp5010.ccmaster,133.101.183.69
1829,nckp5020.ccmaster,133.101.183.70
1830,nckp5030.ccmaster,133.101.183.71
1831,nckp5040.ccmaster,133.101.183.72
1832,nckp5210.ccmaster,133.101.183.73
1833,nckp5240.ccmaster,133.101.183.75
1834,nckp5250.ccmaster,133.101.183.76
1835,k4kpb060.ccmaster,133.101.183.77
1836,k4kpb070.ccmaster,133.101.183.78
1837,k4kpb080.ccmaster,133.101.183.79
1838,nckp5220.ccmaster,133.101.183.80
1841,tckp2010.ccmaster,133.101.183.132
1842,tckp2020.ccmaster,133.101.183.133
1843,tckp2030.ccmaster,133.101.183.134
1844,tckp3010.ccmaster,133.101.183.137
1845,tckp3020.ccmaster,133.101.183.138
1971,sgkp5130.ccmaster,133.101.182.148
2069,patpc704.ccmaster,133.101.64.83
2070,patpc705.ccmaster,133.101.64.84
2074,k4pc2100.ccmaster,133.101.76.150
2075,k4pc2101.ccmaster,133.101.76.151
2076,k4pc2102.ccmaster,133.101.76.152
2077,k4pc2103.ccmaster,133.101.76.153
2078,k4pc2104.ccmaster,133.101.76.154
2079,k4pc2105.ccmaster,133.101.76.155
2095,wrpc0096.ccmaster,133.101.76.196
2096,wrpc0097.ccmaster,133.101.76.197
2097,wrpc0098.ccmaster,133.101.76.198
2098,wrpc0099.ccmaster,133.101.76.199
2129,rentpc01.ccmaster,133.101.183.112
2130,rentpc02.ccmaster,133.101.183.113
2131,rentpc03.ccmaster,133.101.183.114
2132,rentpc04.ccmaster,133.101.183.115
2133,rentpc05.ccmaster,133.101.183.116
2134,rentpc06.ccmaster,133.101.183.117
2135,rentpc07.ccmaster,133.101.183.118
2136,rentpc08.ccmaster,133.101.183.119
