ID,シリアルナンバー,設置建屋,階,設置場所,ホスト情報,MACアドレス,無線MACアドレス,備考,所属,機種,種別,OS起動種別,貸出PC用MACグループ,情セ管理番号,大学管財番号,4階層図用種別,ベンダー
1840,54015375E,5,3,SR202教室,1669,40:c2:ba:47:08:c5,a0:d3:65:46:f2:94,,1,13,10,1,0,,2024-00733(122),2,9
1841,54015125E,5,3,SR203教室,1670,40:c2:ba:46:f7:5e,a0:d3:65:5b:01:08,,1,13,10,1,0,,2024-00733(123),2,9
1842,54015114E,5,3,SR204教室,1605,40:c2:ba:46:f7:5c,a0:d3:65:79:61:66,,1,13,10,1,0,,2024-00733(124),2,9
1843,54015163E,5,3,SR205教室,1728,40:c2:ba:47:08:dd,a0:d3:65:22:18:b1,,1,13,10,1,0,,2024-00733(125),2,9
1844,54015251E,5,3,SR207教室,1742,40:c2:ba:47:08:ba,a0:d3:65:49:cc:d5,,1,13,10,1,0,,2024-00733(129),2,9
1845,54015383E,5,3,SR208教室,1743,40:c2:ba:46:d4:10,a0:d3:65:20:63:c7,,1,13,10,1,0,,2024-00733(130),2,9
1846,54017747E,5,3,SR209教室,1744,40:c2:ba:46:f7:92,a0:d3:65:5b:00:4a,,1,13,10,1,0,,2024-00733(131),2,9
1847,54015207E,5,3,SR210教室,1745,40:c2:ba:47:08:eb,a0:d3:65:20:63:7c,,1,13,10,1,0,,2024-00733(132),2,9
1848,54015263E,5,4,SR301教室,1729,bc:ec:a0:3f:18:2c,a0:d3:65:45:83:0f,,1,13,10,1,0,,2024-00733(133),2,9
1849,54015244E,5,4,SR302教室,1730,40:c2:ba:47:08:e9,a0:d3:65:45:83:aa,,1,13,10,1,0,,2024-00733(134),2,9
1850,54015302E,5,4,SR303教室,1623,40:c2:ba:47:08:b4,a0:d3:65:45:95:39,,1,13,10,1,0,,2024-00733(135),2,9
1851,54015300E,5,4,SR304教室,1624,40:c2:ba:46:f7:86,a0:d3:65:45:96:6f,,1,13,10,1,0,,2024-00733(136),2,9
1852,54015265E,5,4,SR305教室,1625,40:c2:ba:46:d4:35,a0:d3:65:22:18:b6,,1,13,10,1,0,,2024-00733(137),2,9
1853,54015210E,5,4,SR306教室,1626,40:c2:ba:46:d4:32,a0:d3:65:22:18:9d,,1,13,10,1,0,,2024-00733(138),2,9
1854,54015109E,5,4,SR307教室,1726,40:c2:ba:46:f7:90,a0:d3:65:79:4f:73,,1,13,10,1,0,,2024-00733(139),2,9
1855,54015243E,5,4,SR308教室,1746,40:c2:ba:47:08:e8,a0:d3:65:45:83:2d,,1,13,10,1,0,,2024-00733(140),2,9
1856,54015183E,5,4,SR309教室,1747,40:c2:ba:46:d4:25,a0:d3:65:20:64:9e,,1,13,10,1,0,,2024-00733(141),2,9
1857,54015112E,5,4,SR310教室,1748,40:c2:ba:46:f7:3c,a0:d3:65:79:4f:3c,,1,13,10,1,0,,2024-00733(142),2,9
1858,54015297E,5,4,SR311教室,1749,40:c2:ba:46:f7:a4,a0:d3:65:45:96:8d,,1,13,10,1,0,,2024-00733(143),2,9
1859,54015225E,5,4,SR312教室,1750,40:c2:ba:47:08:f0,a0:d3:65:45:95:a7,,1,13,10,1,0,,2024-00733(144),2,9
1860,54015121E,5,5,SR401教室,1731,40:c2:ba:46:d4:01,a0:d3:65:5b:00:54,,1,13,10,1,0,,2024-00733(145),2,9
1861,54015228E,5,5,SR402教室,1732,40:c2:ba:46:d4:3e,a0:d3:65:22:18:a2,,1,13,10,1,0,,2024-00733(146),2,9
1862,54015486E,5,5,SR403教室,1751,40:c2:ba:46:d4:30,a0:d3:65:44:e6:8e,,1,13,10,1,0,,2024-00733(147),2,9
1863,54015254E,5,5,SR404教室,1752,40:c2:ba:46:d4:52,a0:d3:65:22:18:c5,,1,13,10,1,0,,2024-00733(148),2,9
1864,54015294E,5,5,SR405教室,1753,40:c2:ba:46:f7:1c,a0:d3:65:45:96:65,,1,13,10,1,0,,2024-00733(149),2,9
1865,54015220E,5,5,SR406教室,1754,40:c2:ba:46:d3:ff,a0:d3:65:22:0d:c6,,1,13,10,1,0,,2024-00733(150),2,9
1866,54015234E,5,5,SR407教室,1755,40:c2:ba:47:08:ef,a0:d3:65:45:95:3e,,1,13,10,1,0,,2024-00733(151),2,9
1867,54015249E,5,6,SR501教室,1733,40:c2:ba:47:08:b9,a0:d3:65:46:f0:a0,,1,13,10,1,0,,2024-00733(152),2,9
1868,54015396E,5,6,SR502教室,1734,40:c2:ba:46:f7:a0,a0:d3:65:45:96:92,,1,13,10,1,0,,2024-00733(153),2,9
1869,54015287E,5,6,SR503教室,1735,40:c2:ba:46:f7:60,a0:d3:65:79:61:ac,,1,13,10,1,0,,2024-00733(154),2,9
1870,54015206E,5,6,SR504教室,1736,40:c2:ba:47:08:d7,a0:d3:65:22:0d:bc,,1,13,10,1,0,,2024-00733(155),2,9
1871,54015189E,5,6,SR505教室,1737,40:c2:ba:46:d4:3d,a0:d3:65:20:63:b3,,1,13,10,1,0,,2024-00733(156),2,9
1872,54015115E,5,6,SR506教室,1756,40:c2:ba:46:f7:81,a0:d3:65:79:61:a2,,1,13,10,1,0,,2024-00733(157),2,9
1873,54015139E,5,6,SR507教室,1757,40:c2:ba:47:08:9d,a0:d3:65:79:51:c1,,1,13,10,1,0,,2024-00733(158),2,9
1874,54015708E,5,6,SR508教室,1758,40:c2:ba:47:08:9c,a0:d3:65:44:80:6d,,1,13,10,1,0,,2024-00733(159),2,9
1875,54015277E,5,6,SR509教室,1759,40:c2:ba:46:f7:57,a0:d3:65:5b:01:26,,1,13,10,1,0,,2024-00733(160),2,9
1876,54015282E,5,6,SR510教室,1760,40:c2:ba:46:f7:89,a0:d3:65:45:83:a5,,1,13,10,1,0,,2024-00733(161),2,9
1877,54015127E,5,6,SR511教室,1761,40:c2:ba:46:f7:99,a0:d3:65:79:61:b6,,1,13,10,1,0,,2024-00733(162),2,9
1878,54015238E,5,6,SR512教室,1762,40:c2:ba:47:08:a0,a0:d3:65:22:19:65,,1,13,10,1,0,,2024-00733(163),2,9
