ID,シリアルナンバー,設置建屋,階,設置場所,ホスト情報,MACアドレス,無線MACアドレス,備考,所属,機種,種別,OS起動種別,貸出PC用MACグループ,情セ管理番号,大学管財番号,4階層図用種別,ベンダー
1613,PF3B2NYW,14,5,12403教室,1822,84:a9:38:37:ff:6c,c8:94:02:7d:74:e3,2022/7/15 マザーボード交換，2026/2/24マザーボード，電源ボタンボード交換,1,9,10,1,0,,2021-02293,2,3
1614,PF3CM475,14,5,12404教室,1823,84:a9:38:41:8f:b6,c8:94:02:7c:9d:5f,,1,9,10,1,0,,2021-02294,2,3
1615,PF3CM61G,14,5,12406演習室,1824,84:a9:38:41:8f:84,c8:94:02:7c:a0:df,,1,9,10,1,0,,2021-02295,2,3
1616,PF3BHE86,14,5,12407演習室,1825,6c:24:08:a1:94:52,c8:94:02:7c:a1:79,,1,9,10,1,0,,2021-02296,2,3
1617,PF3BHLLC,14,5,12401演習室,1826,84:a9:38:41:95:2e,c8:94:02:7c:a1:7b,2022/10，2023/11, 2025/5　マザーボード交換,1,9,10,1,0,,2021-02297,2,3
1618,PF3BHSCE,14,5,12402演習室,1827,84:a9:38:41:93:20,c8:94:02:7c:a1:1d,,1,9,10,1,0,,2021-02298,2,3
1619,PF3BHLKZ,14,6,12505教室,1828,6c:24:08:a1:9c:06,c8:94:02:7c:a1:25,2022/10/4 マザーボード交換，2023/7/31 液晶破損有償修理,1,9,10,1,0,,2021-02299,2,3
1620,PF3BJQVP,14,6,12509教室,1829,84:a9:38:41:a3:d6,c8:94:02:7c:9d:6d,,1,9,10,1,0,,2021-02300,2,3
1621,PF3BHJEC,14,6,12503教室,1830,84:a9:38:41:a2:de,c8:94:02:7c:a1:03,2023/9 システムボード交換,1,9,10,1,0,,2021-02301,2,3
1622,PF3BL7JF,14,6,12504教室,1831,84:a9:38:41:a5:12,c8:94:02:7c:a1:89,2023/7/4 液晶パネルベゼル，ロワーケース交換,1,9,10,1,0,,2021-02302,2,3
1623,PF3CM5XZ,14,6,12506演習室,1832,84:a9:38:41:a3:f2,c8:94:02:7c:a1:81,,1,9,10,1,0,,2021-02303,2,3
1624,PF3CM5ZW,14,6,12507演習室,1838,84:a9:38:41:90:aa,c8:94:02:7c:a1:87,2022/11マザーボード交換,1,9,10,1,0,,2021-02304,2,3
1625,PF3BJQTM,14,6,12501演習室,1833,84:a9:38:41:a3:d0,c8:94:02:7c:9f:e9,,1,9,10,1,0,,2021-02305,2,3
1626,PF3BJNQK,14,6,12502演習室,1834,84:a9:38:41:a3:ec,c8:94:02:7c:9d:73,2023/10 システムボード交換(2回目),1,9,10,1,0,,2021-02306,2,3
1627,PF3BJLQF,15,1,13B01教室,1606,84:a9:38:41:9a:86,c8:94:02:7c:a1:73,,1,9,10,1,0,,2021-02317,2,3
1628,PF3BL6EH,7,3,5221演習室,1781,84:a9:38:41:a5:2a,c8:94:02:7c:a1:21,2022/9回収（元n4kp04e0），2024/1マザーボード交換，元mvkp0006,1,9,10,1,0,,2021-02235,2,3
1629,PF3B3EXV,15,2,13121演習室,1608,84:a9:38:41:a3:da,c8:94:02:7c:9d:89,,1,9,10,1,0,,2021-02307,2,3
1630,PF3B4M6R,15,2,13124常設模擬法廷,1609,84:a9:38:41:a5:30,c8:94:02:7c:a0:cd,,1,9,10,1,0,,2021-02308,2,3
1631,PF3CM5Z0,15,4,13301教室,1610,84:a9:38:41:a3:e8,c8:94:02:7c:a1:85,,1,9,10,1,0,,2021-02309,2,3
1632,PF3B391B,12,4,開発作業室,1725,84:a9:38:41:91:bc,c8:94:02:7c:9d:87,予備機　※2022/9回収（元n4kp0100）,1,9,20,1,0,,2021-02234,2,3
1633,PF3BHLPF,15,4,13302教室,1612,84:a9:38:41:91:d8,c8:94:02:7c:a1:4b,,1,9,10,1,0,,2021-02310,2,3
1634,PF3B36YH,15,4,13303教室,1613,84:a9:38:41:93:26,c8:94:02:7c:a0:d1,2025/10/14 マザーボード交換,1,9,10,1,0,,2021-02311,2,3
1635,PF3BJJNK,15,4,13304教室,1614,84:a9:38:41:a5:36,c8:94:02:7c:a1:71,2023/02/01 マザーボード交換,1,9,10,1,0,,2021-02312,2,3
1637,PF3BHMTY,15,4,13306教室,1616,84:a9:38:d2:59:f7,c8:94:02:7c:a1:01,2022/05/06 システムボード故障交換,1,9,10,1,0,,2021-02314,2,3
1638,PF3BJJJ3,15,4,13307教室,1617,84:a9:38:41:a2:da,c8:94:02:7c:9d:57,,1,9,10,1,0,,2021-02315,2,3
1640,PF3B3B6X,22,1,4KB06大学院研究室,1835,84:a9:38:41:9a:5e,c8:94:02:7c:9d:8f,,1,9,10,1,0,,2021-02227,2,3
1641,PF3BHGAS,22,1,4KB07大学院講義室,1836,84:a9:38:41:a5:52,c8:94:02:7c:9f:e3,,1,9,10,1,0,,2021-02228,2,3
1642,PF3BHMY1,22,1,4KB08大学院講義室,1837,84:a9:38:41:91:dc,c8:94:02:7c:a1:1f,,1,9,10,1,0,,2021-02229,2,3
1649,PF3BHQ3Z,15,4,13305教室,1615,84:a9:38:41:93:0c,c8:94:02:7c:a1:75,,1,9,10,1,0,,2021-02313,2,3
1650,PF3B30SZ,14,4,12305教室,1812,84:a9:38:41:a0:34,c8:94:02:7c:a8:67,,1,9,10,1,0,,2021-02283,2,3
1654,PF3B3B7Q,15,4,13308教室,1618,84:a9:38:41:a3:a2,c8:94:02:7c:9d:a3,,1,9,10,1,0,,2021-02316,2,3
1726,PF3CMZ2P,12,4,開発作業室,2147,84:a9:38:41:97:56,c8:94:02:0e:3a:61,イメージ作成用,1,9,8,1,1,,2021-02318,,3
1727,PF3BHMZ5,12,4,開発作業室,2148,84:a9:38:41:8f:9c,c8:94:02:7c:a1:15,,1,9,8,1,1,,2021-02319,,3
1728,PF3B2R2K,12,4,開発作業室,2149,84:a9:38:41:98:44,c8:94:02:6d:26:9f,,1,9,8,1,1,,2021-02320,,3
1729,PF3BL7LC,12,4,開発作業室,2150,84:a9:38:41:8f:78,c8:94:02:7c:a0:db,,1,9,8,1,1,,2021-02321,,3
1730,PF3BHGA2,12,4,開発作業室,2151,84:a9:38:41:96:ae,c8:94:02:7c:a1:49,,1,9,8,1,1,,2021-02322,,3
1731,PF3BHE5G,12,4,開発作業室,2152,84:a9:38:41:a5:1e,c8:94:02:7c:a1:0f,,1,9,8,1,1,,2021-02323,,3
1733,PF3BHMVQ,12,4,開発作業室,1667,84:a9:38:41:91:de,c8:94:02:7c:a1:45,予備機,1,9,20,1,0,,2021-02230,2,3
1734,PF3BHLN5,12,4,開発作業室,1668,84:a9:38:41:91:c6,c8:94:02:7c:9f:df,予備機,1,9,20,1,0,,2021-02231,2,3
1735,PF3BHQ7S,12,4,開発作業室,2153,84:a9:38:41:93:18,c8:94:02:7c:a1:47,予備機,1,9,20,1,0,,2021-02232,2,3
1736,PF3BJJMP,12,4,開発作業室,2154,84:a9:38:41:9a:88,c8:94:02:7c:a1:29,予備機,1,9,20,1,0,,2021-02233,2,3
1737,PF3BJJK6,4,2,外国学部事務室,2129,84:a9:38:69:4b:36,c8:94:02:7c:a7:7f,教卓PC予備兼リモート対応用途，2023/9システムボード交換,1,9,13,3,0,,2021-02324,,3
1738,PF3BJLP6,4,2,外国学部事務室,2130,84:a9:38:37:e3:08,c8:94:02:7c:a1:13,教卓PC予備兼リモート対応用途，2023/9システムボード交換,1,9,13,3,0,,2021-02325,,3
1739,PF3BL7K7,7,2,経営学部事務室,2131,84:a9:38:41:a5:16,c8:94:02:7c:a1:8b,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02326,,3
1740,PF3BHQ6X,7,2,経営学部事務室,2132,84:a9:38:41:93:06,c8:94:02:7c:a1:4f,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02327,,3
1741,PF3B2T8N,7,2,経済学部事務室,2133,84:a9:38:41:9b:66,c8:94:02:7d:74:b1,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02328,,3
1742,PF3BJJLJ,7,2,経済学部事務室,2134,84:a9:38:41:a2:d4,c8:94:02:7c:a1:53,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02329,,3
1743,PF3BHSA2,16,2,情報理工学部事務室,2135,84:a9:38:41:90:de,c8:94:02:7c:a1:63,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02330,,3
1744,PF3B2R0Z,16,2,情報理工学部事務室,2136,84:a9:38:41:92:28,c8:94:02:7d:74:9b,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02331,,3
1745,PF3B38Y1,18,2,生命科学部事務室,2137,84:a9:38:41:98:68,c8:94:02:7c:a0:d3,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02332,,3
1746,PF3BJLPJ,18,2,生命科学部事務室,2138,84:a9:38:38:f8:32,c8:94:02:7c:a1:09,教卓PC予備兼リモート対応用途，2024/05マザーボード交換，2024/6/10 マウス交換,1,9,13,3,0,,2021-02333,,3
1747,PF3BHJBX,3,2,理学部事務室,2139,84:a9:38:41:a4:78,c8:94:02:7c:a1:67,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02334,,3
1748,PF3BJQT1,3,2,理学部事務室,2140,84:a9:38:41:a3:de,c8:94:02:7c:a1:6b,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02335,,3
1749,PF3BHQ5E,13,2,文化学部事務室,2141,84:a9:38:41:93:0e,c8:94:02:7c:74:85,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02336,,3
1750,PF3B3CX6,5,2,法学部事務室,2156,84:a9:38:41:98:6e,c8:94:02:7c:a8:fd,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02338,,3
1751,PF3B36ZK,5,2,法学部事務室,2157,84:a9:38:41:99:98,c8:94:02:7c:a1:19,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02339,,3
1752,PF3BHE48,5,2,国際関係学部事務室,2158,84:a9:38:41:a5:1a,c8:94:02:7c:a0:e1,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02340,,3
1753,PF3B3AXK,5,2,国際関係学部事務室,2159,84:a9:38:41:98:76,c8:94:02:7c:9d:d7,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02341,,3
1754,PF3B2TB5,4,2,現代社会学部事務室,2160,84:a9:38:41:9d:c8,c8:94:02:7d:74:b3,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02342,,3
1755,PF3CM451,4,2,現代社会学部事務室,2161,84:a9:38:41:a5:20,c8:94:02:7c:a1:83,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02343,,3
1756,PF3BL7HH,13,2,文化学部事務室,2155,84:a9:38:41:a3:ca,c8:94:02:7c:9d:a7,教卓PC予備兼リモート対応用途,1,9,13,3,0,,2021-02337,,3
1774,54015222E,12,4,開発作業室,2173,40:c2:ba:46:f7:35,a0:d3:65:22:0e:ac,イメージ作成用,1,13,8,1,0,,2024-00733(028),,9
1775,54015176E,12,4,開発作業室,2174,40:c2:ba:47:08:d5,a0:d3:65:20:64:a8,,1,13,8,1,0,,2024-00733(029),,9
